,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.811,0.785,0.7707142857142857,0.7357142857142858,0.726,0.7772857142857142,0.7012857142857143,0.7372857142857143,0.7975714285714286,0.7655714285714286,0.7992857142857143,0.7772857142857142,0.7591428571428571,0.7578571428571429,0.7598571428571429,0.7634285714285715,0.7301428571428571,0.7991428571428572,0.7195714285714285,0.7351428571428571,0.7744285714285715,0.7965714285714286,0.8034285714285714,0.7694285714285715,0.7352857142857143,0.8098571428571428,0.7757142857142857,0.732,0.8095714285714286,0.7554285714285714,0.7688571428571429,0.7542857142857143,0.7692857142857142,0.7867142857142857,0.8028571428571428,0.7422857142857143,0.7645714285714286,0.797,0.7695714285714286,0.7535714285714286,0.7352857142857143,0.8188571428571428,0.7907142857142857,0.7617142857142857,0.7082857142857143,0.7482857142857143,0.7572857142857143,0.6967142857142857,0.7504285714285714,0.7665714285714286
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.8232857142857143,0.7725714285714286,0.7797142857142857,0.739,0.7255714285714285,0.7902857142857143,0.7124285714285714,0.7384285714285714,0.7968571428571428,0.7861428571428571,0.8028571428571428,0.7767142857142857,0.7525714285714286,0.7464285714285714,0.7761428571428571,0.7594285714285715,0.7152857142857143,0.8251428571428572,0.745,0.7401428571428571,0.791,0.8221428571428572,0.7907142857142857,0.77,0.7411428571428571,0.8061428571428572,0.7865714285714286,0.7302857142857143,0.811,0.792,0.7737142857142857,0.8072857142857143,0.7877142857142857,0.7874285714285715,0.7832857142857143,0.7792857142857142,0.7754285714285715,0.8054285714285714,0.7925714285714286,0.756,0.7522857142857143,0.8451428571428572,0.7942857142857143,0.7605714285714286,0.6918571428571428,0.75,0.766,0.7271428571428571,0.7515714285714286,0.772
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.8392857142857143,0.7901428571428571,0.8277142857142857,0.7364285714285714,0.7265714285714285,0.7757142857142857,0.7178571428571429,0.7471428571428571,0.786,0.8051428571428572,0.815,0.7805714285714286,0.7364285714285714,0.7372857142857143,0.8008571428571428,0.7538571428571429,0.7338571428571429,0.8101428571428572,0.7562857142857143,0.7748571428571429,0.794,0.45,0.8137142857142857,0.7831428571428571,0.7612857142857142,0.8105714285714286,0.8437142857142857,0.7308571428571429,0.8274285714285714,0.7805714285714286,0.7905714285714286,0.8045714285714286,0.8174285714285714,0.795,0.8077142857142857,0.7807142857142857,0.7874285714285715,0.8075714285714286,0.8198571428571428,0.7915714285714286,0.7491428571428571,0.8398571428571429,0.8155714285714286,0.785,0.7531428571428571,0.747,0.7828571428571428,0.7362857142857143,0.7542857142857143,0.7768571428571428
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.8428571428571429,0.8058571428571428,0.8377142857142857,0.795,0.7142857142857143,0.7967142857142857,0.776,0.7784285714285715,0.7768571428571428,0.8211428571428572,0.8131428571428572,0.7881428571428571,0.764,0.8011428571428572,0.8021428571428572,0.7714285714285715,0.7707142857142857,0.8037142857142857,0.756,0.7761428571428571,0.7947142857142857,0.7341428571428571,0.8268571428571428,0.7818571428571428,0.79,0.8322857142857143,0.8474285714285714,0.7407142857142858,0.8242857142857143,0.788,0.7885714285714286,0.8081428571428572,0.7871428571428571,0.8167142857142857,0.8192857142857143,0.812,0.788,0.823,0.8367142857142857,0.739,0.7505714285714286,0.8427142857142857,0.8234285714285714,0.7895714285714286,0.7578571428571429,0.7471428571428571,0.7952857142857143,0.765,0.7582857142857143,0.8084285714285714
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.8411428571428572,0.8061428571428572,0.839,0.8082857142857143,0.7575714285714286,0.8055714285714286,0.7825714285714286,0.8118571428571428,0.8157142857142857,0.8285714285714286,0.812,0.7941428571428572,0.7594285714285715,0.806,0.8092857142857143,0.7914285714285715,0.7665714285714286,0.8062857142857143,0.7805714285714286,0.7714285714285715,0.7925714285714286,0.8167142857142857,0.8231428571428572,0.7812857142857143,0.799,0.8467142857142858,0.866,0.7708571428571429,0.8232857142857143,0.8031428571428572,0.7855714285714286,0.8078571428571428,0.8222857142857143,0.8297142857142857,0.8244285714285714,0.8175714285714286,0.7971428571428572,0.8244285714285714,0.8334285714285714,0.8041428571428572,0.7517142857142857,0.841,0.8387142857142857,0.7864285714285715,0.7678571428571429,0.7514285714285714,0.7932857142857143,0.7691428571428571,0.7897142857142857,0.8072857142857143
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.8505714285714285,0.8062857142857143,0.837,0.8128571428571428,0.778,0.8082857142857143,0.7824285714285715,0.8142857142857143,0.8204285714285714,0.8354285714285714,0.8101428571428572,0.7885714285714286,0.8018571428571428,0.8127142857142857,0.7617142857142857,0.8521428571428571,0.75,0.8257142857142857,0.8097142857142857,0.7875714285714286,0.8108571428571428,0.8261428571428572,0.8071428571428572,0.7795714285714286,0.8028571428571428,0.8445714285714285,0.8618571428571429,0.7604285714285715,0.8191428571428572,0.8037142857142857,0.7634285714285715,0.8147142857142857,0.832,0.8508571428571429,0.8312857142857143,0.8184285714285714,0.7965714285714286,0.8357142857142857,0.8322857142857143,0.8047142857142857,0.7248571428571429,0.8325714285714285,0.8418571428571429,0.7842857142857143,0.7898571428571428,0.7804285714285715,0.7862857142857143,0.768,0.7857142857142857,0.7972857142857143
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.8515714285714285,0.8064285714285714,0.8361428571428572,0.8128571428571428,0.792,0.8107142857142857,0.7898571428571428,0.7931428571428571,0.8217142857142857,0.8385714285714285,0.8145714285714286,0.7892857142857143,0.797,0.8095714285714286,0.8285714285714286,0.845,0.768,0.8304285714285714,0.8288571428571428,0.7958571428571428,0.8134285714285714,0.8267142857142857,0.7941428571428572,0.777,0.8118571428571428,0.8398571428571429,0.85,0.7587142857142857,0.8267142857142857,0.7455714285714286,0.761,0.8127142857142857,0.8277142857142857,0.8534285714285714,0.8262857142857143,0.817,0.7844285714285715,0.845,0.8298571428571428,0.8125714285714286,0.7827142857142857,0.8345714285714285,0.8464285714285714,0.7845714285714286,0.7817142857142857,0.7838571428571428,0.7971428571428572,0.7835714285714286,0.7842857142857143,0.7947142857142857
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.8278571428571428,0.8114285714285714,0.8365714285714285,0.8222857142857143,0.7938571428571428,0.8287142857142857,0.7898571428571428,0.8084285714285714,0.8214285714285714,0.8332857142857143,0.8185714285714286,0.8162857142857143,0.8055714285714286,0.8022857142857143,0.8308571428571428,0.8448571428571429,0.6848571428571428,0.852,0.8197142857142857,0.7132857142857143,0.8185714285714286,0.8305714285714285,0.827,0.7822857142857143,0.8224285714285714,0.8447142857142858,0.8687142857142857,0.8142857142857143,0.7058571428571428,0.8375714285714285,0.8095714285714286,0.8307142857142857,0.8395714285714285,0.8538571428571429,0.8132857142857143,0.8177142857142857,0.806,0.8441428571428572,0.8362857142857143,0.821,0.7764285714285715,0.8352857142857143,0.8524285714285714,0.8132857142857143,0.8144285714285714,0.7811428571428571,0.809,0.7881428571428571,0.6444285714285715,0.8012857142857143
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
