,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
160,0.7622988505747127,0.7862068965517242,0.7949425287356322,0.775632183908046,0.8032183908045977,0.8059770114942528,0.7848275862068965,0.7931034482758621,0.7944827586206896,0.7733333333333333,0.8068965517241379,0.776551724137931,0.7664367816091954,0.7894252873563219,0.7848275862068965,0.7871264367816092,0.7705747126436782,0.8087356321839081,0.7719540229885058,0.7664367816091954,0.7802298850574713,0.752183908045977,0.7779310344827586,0.7981609195402298,0.7760919540229885,0.8055172413793104,0.7710344827586207,0.7995402298850575
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.7737931034482759,0.791264367816092,0.8096551724137931,0.7917241379310345,0.8059770114942528,0.8082758620689655,0.7944827586206896,0.8009195402298851,0.7724137931034483,0.7820689655172414,0.792183908045977,0.7793103448275862,0.7802298850574713,0.7981609195402298,0.8027586206896552,0.7701149425287356,0.7880459770114943,0.792183908045977,0.7802298850574713,0.7797701149425287,0.8032183908045977,0.7508045977011494,0.7894252873563219,0.7981609195402298,0.7885057471264367,0.8202298850574713,0.784367816091954,0.799080459770115
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.7797701149425287,0.7972413793103448,0.8147126436781609,0.8027586206896552,0.8082758620689655,0.8128735632183908,0.7857471264367816,0.799080459770115,0.7862068965517242,0.7875862068965517,0.8064367816091954,0.7793103448275862,0.76,0.8045977011494253,0.8165517241379311,0.8142528735632184,0.799080459770115,0.8119540229885057,0.7862068965517242,0.7618390804597701,0.8004597701149425,0.766896551724138,0.7940229885057472,0.776551724137931,0.784367816091954,0.7268965517241379,0.7871264367816092,0.8179310344827586
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0.7977011494252874,0.8018390804597701,0.7797701149425287,0.8096551724137931,0.8137931034482758,0.8179310344827586,0.7806896551724138,0.783448275862069,0.799080459770115,0.7963218390804597,0.8064367816091954,0.7857471264367816,0.7806896551724138,0.8188505747126437,0.8096551724137931,0.8009195402298851,0.8073563218390805,0.824367816091954,0.7829885057471264,0.776551724137931,0.7871264367816092,0.7705747126436782,0.7986206896551724,0.8064367816091954,0.8009195402298851,0.8160919540229885,0.7981609195402298,0.7935632183908046
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.8027586206896552,0.8105747126436782,0.8018390804597701,0.8091954022988506,0.8225287356321839,0.7967816091954023,0.8105747126436782,0.7705747126436782,0.8013793103448276,0.8027586206896552,0.7981609195402298,0.7793103448275862,0.8137931034482758,0.8179310344827586,0.8170114942528736,0.8013793103448276,0.807816091954023,0.824367816091954,0.782528735632184,0.8156321839080459,0.7774712643678161,0.7806896551724138,0.8055172413793104,0.8156321839080459,0.8018390804597701,0.8128735632183908,0.7935632183908046,0.8188505747126437
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
