,0,1,2
295,0.9775,0.95,0.975
296,0.9775,0.95,0.97
297,0.97,0.95,0.9775
298,0.975,0.95,0.9775
299,0.97,0.95,0.9775
300,0.97,0.9575,0.9775
301,0.9725,0.95,0.97
302,0.9725,0.95,0.97
303,0.97,0.95,0.97
304,0.975,0.9525,0.9775
305,0.9775,0.96,0.97
306,0.97,0.965,0.9725
307,0.97,0.9625,0.9775
308,0.9775,0.9625,0.9725
309,0.975,0.96,0.97
310,0.9775,0.9625,0.97
311,0.9725,0.965,0.9775
312,0.9775,0.9625,0.97
313,0.9725,0.965,0.97
314,0.9775,0.965,0.9725
315,0.9775,0.965,0.9725
316,0.9775,0.965,0.9725
317,0.9775,0.9575,0.9725
318,0.9775,0.9575,0.975
319,0.9775,0.96,0.975
320,0.96,0.96,0.975
321,0.975,0.9575,0.9725
322,0.975,0.9625,0.975
323,0.975,0.9625,0.9725
324,0.97,0.9575,0.975
325,0.9675,0.9625,0.9725
326,0.9775,0.9575,0.9775
327,0.9675,0.9575,0.98
328,0.9725,0.9625,0.975
329,0.965,0.96,0.9775
330,0.9725,0.96,0.98
331,0.9775,0.9625,0.98
332,0.96,0.9625,0.98
333,0.9625,0.9625,0.9775
334,0.9725,0.9625,0.98
335,0.97,0.96,0.98
336,0.98,0.9625,0.9775
337,0.9775,0.965,0.9775
338,0.98,0.96,0.975
339,0.97,0.9625,0.9775
340,0.975,0.9625,0.975
341,0.98,0.9625,0.975
342,0.97,0.9625,0.98
343,0.9775,0.9625,0.9775
344,0.965,0.96,0.98
345,0.9775,0.96,0.9775
346,0.9775,0.965,0.98
347,0.96,0.9625,0.9725
348,0.9725,0.96,0.9775
349,0.98,0.96,0.9725
350,0.9775,0.965,0.9725
351,0.975,0.9625,0.9725
352,0.9675,0.9625,0.9725
353,0.9775,0.9625,0.98
354,0.97,0.9625,0.9725
355,0.9775,0.965,0.9725
356,0.9675,0.965,0.9725
357,0.98,0.965,0.98
358,0.9775,0.965,0.975
359,0.9775,0.9625,0.9725
360,0.975,0.965,0.9725
361,0.965,0.96,0.9725
362,0.9725,0.965,0.9725
363,0.98,0.96,0.975
364,0.9725,0.965,0.975
365,0.9725,0.96,0.975
366,0.97,0.9625,0.9725
367,0.9725,0.965,0.9725
368,0.9725,0.9625,0.9725
369,0.9675,0.965,0.97
370,0.975,0.9675,0.9725
371,0.9775,0.9625,0.9725
372,0.975,0.9675,0.98
373,0.9675,0.9625,0.9775
374,0.9725,0.965,0.97
375,0.9675,0.9625,0.98
376,0.9675,0.9625,0.98
377,0.9725,0.9625,0.9725
378,0.9775,0.965,0.9725
379,0.9675,0.9675,0.97
380,0.97,0.965,0.9725
381,0.97,0.965,0.97
382,0.965,0.965,0.98
383,0.98,0.9625,0.9725
384,0.9675,0.965,0.98
385,0.975,0.96,0.9725
386,0.975,0.9625,0.9725
387,0.9675,0.965,0.975
388,0.9675,0.9625,0.9725
389,0.9675,0.9625,0.98
390,0.9775,0.965,0.9725
