,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
55,,,,,0.5738,,,,,,,,,,,,,0.5156,,,,,0.2216,,,,0.4786
56,,,,,0.5844,,,,,,,,,,,,,0.536,,,,,0.099,,,,0.473
57,,,,,0.5386,,,,,,,,,,,,,0.5388,,,,,0.3622,,,,0.483
58,,,,,0.6332,,,,,,,,,,,,,0.5306,,,,,0.5344,,,,0.415
59,,,,,0.6146,,,,,,,,,,,,,0.5306,,,,,0.4716,,,,0.488
60,,,,,0.5912,,,,,,,,,,,,,0.5362,,,,,0.4152,,,,0.4706
61,,,,,0.6014,,,,,,,,,,,,,0.5662,,,,,0.5254,,,,0.2504
62,,,,,0.6048,,,,,,,,,,,,,0.5724,,,,,0.5346,,,,0.3232
63,,,,,0.6116,,,,,,,,,,,,,0.5888,,,,,0.5412,,,,0.2484
64,,,,,0.6138,,,,,,,,,,,,,0.5912,,,,,0.498,,,,0.0984
65,,,,,0.5982,,,,,,,,,,,,,0.5876,,,,,0.5388,,,,0.1322
66,,,,,0.5662,,,,,,,,,,,,,0.5964,,,,,0.5344,,,,0.5492
67,,,,,0.4366,,,,,,,,,,,,,0.5964,,,,,0.5556,,,,0.5414
68,,,,,0.6112,,,,,,,,,,,,,0.6042,,,,,0.533,,,,0.5396
69,,,,,0.5264,,,,,,,,,,,,,0.6164,,,,,0.571,,,,0.5622
70,,,,,0.209,,,,,,,,,,,,,0.618,,,,,0.5646,,,,0.563
71,,,,,0.6004,,,,,,,,,,,,,0.6364,,,,,0.5644,,,,0.5812
72,,,,,0.524,,,,,,,,,,,,,0.6206,,,,,0.5834,,,,0.577
73,,,,,0.4834,,,,,,,,,,,,,0.6226,,,,,0.5812,,,,0.5768
74,,,,,0.5038,,,,,,,,,,,,,0.6234,,,,,0.6122,,,,0.6044
75,,,,,0.4904,,,,,,,,,,,,,0.6294,,,,,0.612,,,,0.5652
76,,,,,0.6548,,,,,,,,,,,,,0.6302,,,,,0.6098,,,,0.588
77,,,,,0.6622,,,,,,,,,,,,,0.6292,,,,,0.61,,,,0.5846
