,loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay,logdir
94,0.0008608404110217,0.84183908045977,50,8,0,128,0.000256218676606505,1.74576428476204E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00094_94_h1=8,h2=0,h3=128,lr=0.0003,weight_decay=0.0000_2023-03-01_10-39-57"
93,0.000815967266587,0.841379310344828,50,12,12,64,0.001778955532615,2.8510656324059E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00093_93_h1=12,h2=12,h3=64,lr=0.0018,weight_decay=0.0000_2023-03-01_10-39-48"
64,0.0008311229053585,0.840919540229885,50,8,64,32,0.00100779339091498,6.12119273519828E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00064_64_h1=8,h2=64,h3=32,lr=0.0010,weight_decay=0.0000_2023-03-01_10-37-49"
74,0.0008312667101279,0.840459770114943,50,12,12,16,0.0117231088714397,0.000310821396434789,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00074_74_h1=12,h2=12,h3=16,lr=0.0117,weight_decay=0.0003_2023-03-01_10-38-18"
88,0.000830580379771,0.836781609195402,50,16,64,32,0.0115135225498771,2.22252286273738E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00088_88_h1=16,h2=64,h3=32,lr=0.0115,weight_decay=0.0000_2023-03-01_10-39-27"
53,0.0008513100119842,0.831724137931034,50,12,64,32,0.00159729876716102,1.24586171314193E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00053_53_h1=12,h2=64,h3=32,lr=0.0016,weight_decay=0.0000_2023-03-01_10-36-18"
85,0.0011415997866926,0.828505747126437,50,16,0,16,0.000287318947031262,2.6219136123731E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00085_85_h1=16,h2=0,h3=16,lr=0.0003,weight_decay=0.0000_2023-03-01_10-39-19"
75,0.0013035538826865,0.827586206896552,50,12,12,64,0.000209440879954103,5.93720491294132E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00075_75_h1=12,h2=12,h3=64,lr=0.0002,weight_decay=0.0000_2023-03-01_10-38-21"
9,0.0012581395554816,0.822528735632184,50,64,0,128,8.03705417486343E-05,6.34687585423041E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00009_9_h1=64,h2=0,h3=128,lr=0.0001,weight_decay=0.0000_2023-03-01_10-31-41"
52,0.0009673378796413,0.816091954022988,50,8,64,0,0.0799370092478582,0.000382669874463933,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00052_52_h1=8,h2=64,h3=0,lr=0.0799,weight_decay=0.0004_2023-03-01_10-36-10"
