,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5.205028831958771,173.86656188964844,2.9934000968933105,3.6849361062049866,410.41263580322266,4.316096007823944,3.5007758736610413,6.130912661552429,2.9210496842861176,32.34225559234619,4.314765691757202,37.096834659576416,2.5737029910087585,4.426555156707764,3.3598453402519226,3.526386260986328,3.577132761478424,4.717102408409119,3.810850322246552,3.102576494216919,4.426730453968048,3.7826603651046753,4.817081034183502,4.842063546180725,3.2526683807373047,4.750248432159424,6.648645997047424,4.431646823883057,3.882336556911469,42.55282020568848,2.417595773935318,4.535249471664429,3.56184470653534,4.968689322471619,3.887879490852356,5.199176549911499,4.506111919879913,3.951556146144867,3.2323161363601685,4.950799703598023,3.796955049037933,3.3547816276550293,4.099559247493744,121.85969161987305,3.761466145515442,4.6454097032547,3.765973389148712,4.010810494422913,5.078996300697327,2.9415950775146484
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5.200370609760284,3.6593909859657288,2.9713237285614014,3.703041970729828,3.3694600462913518,3.6358007192611694,3.2018626928329468,8.240056872367859,2.899323344230652,2.7174723744392395,4.595412611961365,2.18953749537468,2.413087785243988,4.2249022126197815,3.028536319732666,3.674722194671631,4.361116528511047,6.503887891769409,3.1681836247444157,86.71439743041992,4.434193015098572,6.108058929443359,2.736453801393509,7.978402614593506,3.1559792160987854,4.589658439159393,5.313315272331238,3.9313963055610657,4.077762842178345,2.529156029224396,2.027310371398926,3.787430703639984,16.3355131149292,4.159118413925171,3.64887136220932,3.307949721813202,4.023166120052338,4.079502165317535,3.036133408546448,4.702255368232727,3.842686951160431,3.202239215373993,26.80278348922729,3.761337399482727,2.932964146137237,54.14892292022705,3.72491991519928,4.553047239780426,5.201472997665405,3.2303375601768494
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
